Project,Scenario,Dollar_year,Weather_year,Start_day,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambium24,allScenarios,2023$,2012,Sunday,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,Geography,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity
HighDemandGrowth,PJM_East,2050,1323516900,22466312,7269845,13554298,1366807300,1275911424,915576500,245359900,62901130,0.036,0.054,0.12,116626.99,314454.7,158.9,3,0.3,20.2,1201.6,0.1,159.1,56.1,215.1,136.3,2.6,0.26,17.5,1031.3,0.09,136.5,48.2,184.7,175.8,3.3,0.33,20.9,1326.7,0.08,176,60.4,236.5,267.6,5.1,0.52,31.6,2006.7,0.12,267.9,91.5,359.4,188192107.7,3550,355.6,23953465,1423171.7,117.6,188394982.7,66396081.1,254791063.8,25.56,22.18,0.28,48.03,27.24,24.28,0.28,51.81,1103918.8,3469948.8,4573867.5,1184348500,451230820,19123824,4341244.5,0,0,0,18545378,500192320,18111132,0,9461745,175828640,192577.9,5866309,159087550,178552590,95045304,15762.5,944.1,0,0,12978.7,122424.2,59211.7,0,3283.5,22013.3,2200.3,5203,76967.1,25212.1,53068.2,63049.9,41624,0
HighDemandGrowth,PJM_West,2025,108149140,2260229.8,0,131793.6,110541160,104261448.9,100893050,1037318.4,19850422,0.0359,0.0539,0.12,113793.88,26324.7,74.2,1.4,0.14,15.2,706,0.18,74.3,36.3,110.6,84.9,1.8,0.2,16.4,788.8,0.18,85,39.9,125,316.8,12.1,1.58,32.3,2423.7,0.17,317.6,104.6,422.2,609.7,38.8,5.42,48,3552.1,0.32,612.3,153.9,766.2,9596727.6,181.7,18.3,1966479.8,91326.9,22.8,9607149.1,4694251,14301400.1,33.8,25.54,0.01,59.36,36.04,28.29,0.01,64.34,1465.5,22.1,1487.6,129354264,9648109,1924715.6,388265.3,0,0,0,176160.6,20697272,3237749.8,0,178472.8,93222180,57508.3,0,3173172.2,6298776.5,0,2205,83,0,0,119.7,6502.8,8146.7,0,59.1,11671.2,401.5,0,1503.6,0,1959,8820,0,0
HighDemandGrowth,PJM_West,2030,123187410,2044901.2,0,184871,125417176,118758791.8,100425040,2578439.8,25757708,0.0359,0.054,0.12,113794.03,28667.3,76.3,1.4,0.15,14.6,587.1,0.16,76.4,32.2,108.5,79,1.5,0.16,14.9,604.6,0.16,79.1,33,112,184.6,6.7,0.88,19.2,1174.8,0.1,185.1,54.2,239.3,503.8,26.6,3.64,44.5,2783,0.25,505.6,127.5,633.1,11334643,214.6,21.7,2171867.7,87238,23.6,11346949.2,4777997.1,16124946.2,25.74,24.2,0.03,49.96,27.38,26.61,0.02,54.01,0,0,0,148596450,24992136,1737031,388265.3,0,0,0,276630.3,23846990,4164337.2,0,178472.8,93222180,67044,0,7064009,17651498,0,2229.9,83,0,0,187.8,6502.8,8150.2,0,59.1,11671.2,52.7,0,3312.5,0,4881.7,8919.5,0,0
HighDemandGrowth,PJM_West,2035,156775360,7186230.5,0,451720.8,164413310,151138078.8,136367870,21599462,9561052,0.0359,0.054,0.12,140115.38,35810.5,62.6,1.2,0.12,12.9,484.2,0.15,62.7,27.3,90,59.4,1.1,0.11,12.1,459.5,0.14,59.5,25.8,85.4,146.1,2.8,0.29,17.3,1091.8,0.07,146.3,49.8,196.2,293.9,5.9,0.66,35,2119.3,0.16,294.3,98.2,392.4,9537987.5,180.4,18.2,1959378.4,73779.3,22.8,9548318.9,4164217.6,13712536.5,24.66,26.37,0,51.02,26.46,29.64,0,56.1,24167,365.6,24532.6,152374900,28045434,6145556,388265.3,0,0,0,609209.2,22254504,2098980.2,0,178472.8,93222180,41516.1,0,7105790.5,20330432,0,6605.7,83,0,0,413.2,6502.8,8152.9,0,59.1,11671.2,52.7,0,3312.5,0,5607.7,26422.7,0,0
HighDemandGrowth,PJM_West,2040,193113200,7754331,0,808197.3,201675730,186168348.1,169169870,47495844,13538666,0.036,0.054,0.12,141101.59,48474.8,80.5,1.5,0.15,14.5,618.1,0.15,80.6,32.9,113.5,62.8,1.2,0.12,11.4,482.1,0.12,62.9,25.8,88.7,141.5,2.7,0.27,16.7,1062.1,0.06,141.6,48.4,190,274.7,5.3,0.56,32.5,2037.2,0.13,275,93.3,368.3,13501878.3,255.2,25.6,2427690.7,103669.2,24.5,13516484.7,5523718.9,19040203.7,26.57,25.03,0,51.6,28.49,27.97,0,56.46,1447.5,0,1447.5,167718540,32505852,6627909,388265.3,0,0,0,1141148.4,31207116,3541740,0,178472.8,93222180,47019.6,0,7168203,24196500,0,6273,83,0,0,773.7,8776.2,9878.2,0,59.1,11671.2,52.7,0,3312.5,0,6619.7,25092,0,0
HighDemandGrowth,PJM_West,2045,221444960,12978438,0,1122030.8,235545440,213480557.9,183865860,73833680,18737852,0.036,0.054,0.12,140973.63,57810.9,48.2,0.9,0.09,10.3,374.6,0.12,48.3,21.5,69.8,39.1,0.7,0.07,8.1,303.2,0.09,39.1,17.2,56.3,78.2,1.5,0.15,9.2,588.4,0.03,78.3,26.8,105,251.1,4.8,0.49,29.7,1879.3,0.11,251.4,85.7,337.1,8697987.2,163.9,16.4,1859742.9,67601.7,22.4,8707347.5,3880377.2,12587724.7,25.12,24.9,0,50.02,27.1,28.25,0,55.35,0,0,0,180449620,51679576,11090223,388265.3,0,0,0,2018419.8,23041504,849398.8,0,178472.8,93222180,0,0,18636882,31024276,0,9839.6,83,0,0,1368.3,6841.3,1816.7,0,59.1,11671.2,0,0,8530.2,0,8361.2,39358.3,0,0
HighDemandGrowth,PJM_West,2050,240351620,15052688,0,1295240.4,256699550,231707720.5,200368140,95872600,20846882,0.036,0.054,0.12,136499.03,62529,51.6,1,0.1,10.3,399.5,0.12,51.7,22.3,73.9,41.5,0.8,0.08,7.9,320.2,0.08,41.6,17.4,59,34.1,0.6,0.06,4,257.1,0.01,34.2,11.7,45.9,253.2,4.8,0.5,29.9,1893.6,0.12,253.4,86.4,339.8,9378450.4,176.8,17.7,1876748.4,72585.9,21.2,9388543,4045600.7,13434143.7,23.27,23.51,0,46.77,25.16,26.76,0,51.91,0,0,0,181673820,56331404,12862497,388265.3,0,0,0,3042766.5,25158714,736912,0,178472.8,86017560,0,0,21492408,31796230,0,11091.3,83,0,0,2062.5,7513.4,1816.7,0,59.1,10769.2,0,0,9775.3,0,8509.7,44365.2,0,0
HighDemandGrowth,SERTP,2025,644784640,1864276.2,6171362.5,649312.2,653469600,621601622,610410900,2521629.2,4102009.5,0.0359,0.054,0.12,123642.78,144919.7,358.7,32.8,4.7,22.2,1416.4,0.24,360.9,64.4,425.4,377.2,34.5,4.94,23.3,1488,0.26,379.6,67.7,447.3,502.1,28.3,3.89,42.6,3217.5,0.25,504,138.6,642.5,636.5,43,6.1,48.3,3425.9,0.36,639.5,150.5,789.9,234944485.5,21476.5,3076.2,14520482.6,927797.5,160.4,236424284.7,42212649.6,278636934.3,38.43,25.22,0,63.65,40.75,27.51,0,68.26,0,0,0,655050000,43058696,1590395.9,4098943.2,0,179752820,0,2501189.2,152247300,1818449.8,0,33546214,233058610,872589.3,5005947.5,39108220,1449286.1,0,1468.7,631.6,32078.1,0,1637.9,40687.3,26180.2,0,12077.7,29178.4,5077.2,6475.7,18332.4,0,516.1,5874.7,51805.6,0
HighDemandGrowth,SERTP,2030,704737100,6939115,5905262.5,861276.9,718442750,679398784,642288640,7291552,3552070.5,0.0359,0.054,0.12,123663.39,154385.5,273.2,19.1,2.67,22.7,1287.1,0.19,274.5,61.2,335.6,286.8,20.1,2.81,23.9,1350.4,0.2,288.1,64.2,352.3,276,6,0.65,31.9,2035.1,0.12,276.4,92.6,368.9,460.9,29.9,4.2,35.9,2201.6,0.25,462.9,101.6,564.5,195257029.8,13649.9,1908.8,16254247.9,919874.9,138.9,196184886.2,43704441.7,239889327.9,32.54,24.13,0,56.66,34.52,26.42,0,60.94,155.6,7.3,162.9,714703200,76154070,5918800.5,4254546.5,0,107662510,0,5159189,244111150,2345312.2,0,35572470,233058610,835240.4,4790511.5,59237132,11757752,0,5339.6,652.7,26946.1,0,3387.1,48471.7,26072.8,0,12676.8,29178.4,4144.9,6475.7,27303.6,0,3708.2,21358.4,51805.6,0
HighDemandGrowth,SERTP,2035,863690430,17022488,12924483,3350812,896988300,832634095.3,487146600,37769170,29796624,0.0359,0.054,0.12,101516.71,180231.6,76.3,1.5,0.15,11.5,576.2,0.09,76.4,28.7,105.1,82.6,1.6,0.16,12.4,623.4,0.09,82.7,31,113.7,160.3,3,0.31,18.9,1203.4,0.07,160.4,54.8,215.3,216.5,4.3,0.46,25.7,1584.5,0.11,216.8,72.9,289.7,67873441.4,1298.1,133.4,10222563.8,512295.2,78,67948540.8,25510252.1,93458792.9,30.98,17.59,0,48.56,33.2,19.5,0,52.7,1671097.2,4559467.5,6230565,889015700,409841630,14506445,3908355.5,0,0,0,7194080,177531140,3092146.5,0,35557344,233058610,1119272.9,10400758,225515490,177132030,0,10634.7,605.7,0,0,4779.3,53842.5,25453.2,0,12676.8,29178.4,3214.6,6475.7,105634.9,0,58091.4,42538.6,51805.6,0
HighDemandGrowth,SERTP,2040,1052678500,26950364,14237126,4862926.5,1098729100,1014826709,499213220,63379976,49950210,0.0359,0.054,0.12,96133.62,210132,61.1,1.2,0.12,9.2,463,0.07,61.2,23.1,84.2,67.4,1.3,0.13,10.1,510.5,0.08,67.5,25.3,92.8,130.6,2.5,0.25,15.4,981,0.06,130.8,44.7,175.5,183.9,3.6,0.37,21.8,1362.7,0.09,184.1,62.4,246.6,66329148.5,1261.8,128.4,10035422.1,502514.3,76.7,66401805.7,25031291,91433096.8,30.65,15.81,0,46.46,32.97,17.57,0,50.53,5212172.5,11865197,17077370,1085299300,599515800,22990142,3908355.5,0,0,0,8394171,175008290,3318062.8,0,35342172,233058610,696636,11461196,310809800,280311840,0,16731.8,605.7,0,0,5597.6,59309.7,25940,0,12676.8,29178.4,2432.4,6475.7,146819.7,0,94980.8,66927.2,51805.6,0
HighDemandGrowth,SERTP,2045,1175029600,35546240,16189445,6376419,1233141800,1132777419,467053980,70767560,95207320,0.0359,0.054,0.12,101537.95,235615,51.5,1,0.1,7.8,390.8,0.06,51.5,19.5,71,58.4,1.1,0.11,8.8,443.1,0.07,58.4,22,80.4,131.9,2.5,0.25,15.6,992.7,0.06,132.1,45.2,177.3,160,3.1,0.32,19,1187.2,0.08,160.2,54.4,214.6,64732598.3,1227.6,124.2,9805846.8,491489.9,75.5,64803091.6,24472859.3,89275950.8,26.28,16.24,0,42.52,28.45,18.13,0,46.58,9620303,31119380,40739684,1257581600,766087740,30301338,3319095,0,0,0,10222691,173141600,3042216.2,0,35154440,233058610,456781.9,13019654,401208260,354656830,0,21518,525.7,0,0,6878.6,68449.7,28105.6,0,12676.8,29178.4,1859.9,6475.7,194911.4,0,121947.1,86072.2,51805.6,0
HighDemandGrowth,SERTP,2050,1239290000,55440492,16292749,7988229.5,1319011500,1194729653,416016300,73831896,142883710,0.0359,0.054,0.12,99335.33,250001.7,40.1,0.8,0.08,6.3,305.8,0.05,40.1,15.4,55.6,47.1,0.9,0.09,7.3,359.1,0.06,47.2,18,65.2,110.8,2.1,0.21,13.1,834.6,0.05,111,38,149,144.5,2.7,0.28,17.1,1084.4,0.06,144.7,49.4,194.1,55656459.5,1050.7,105.4,8729376.1,424533.9,71.1,55716546.1,21399887,77116433.1,22.5,15.33,0,37.83,24.56,17.33,0,41.89,17878858,49645444,67524300,1388063200,902995140,47261050,3305836.5,0,0,0,13168892,152347150,1343421.6,0,34530670,233058610,113754.9,13107588,464506980,425319330,0,34602.1,523.9,0,0,8921.6,72769.6,25573.8,0,12676.8,29178.4,556.8,6475.7,230178.5,0,147443.8,138408.6,51805.6,0
HighDemandGrowth,SPP_North,2025,57156120,2591.2,0,685991,57844710,55100864.5,17639794,2654350.5,16375131,0.0359,0.054,0.12,22736.72,12645.4,223.2,24.9,3.62,8.3,544.1,0.13,224.9,24.6,249.5,238.8,26.7,3.87,9.1,584,0.14,240.7,26.5,267.2,590.7,55.8,8.05,29.7,2115.2,0.31,594.5,92.8,687.3,809.5,78.7,11.37,38.8,2726.3,0.43,815,120.2,935.2,15974017.1,1784.9,259.2,597481.1,38936.1,9.1,16097956.9,1760253.1,17858210,29.37,4.55,0,33.92,31.15,4.93,0,36.08,98659,943,99602,71565490,40204910,2213.7,50348.1,124005.5,15122326,0,56544.4,867642.3,408390.9,0,8625422,6150273.5,9952.4,0,580379.5,39567988,0,1.7,11,8315.7,0,34.1,678.8,3864.6,0,2431.1,770,441.2,0,275.3,0,10960.1,6.8,0,0
HighDemandGrowth,SPP_North,2030,71375256,2727.8,0,857693.1,72235680,68808847.7,20762256,9875318,14265846,0.0359,0.054,0.12,22729.47,14767.5,118.9,12.6,1.82,5.4,322.9,0.07,119.8,15.1,134.8,125.2,13.2,1.91,5.7,340.5,0.08,126.1,15.9,142,430.5,40.2,5.79,22.1,1415.1,0.22,433.3,64.3,497.6,537.5,47.1,6.76,30.6,1925.6,0.28,540.8,88,628.8,9109405.7,962.8,139.3,414550.1,24742.8,5.7,9176126.5,1153433.4,10329559.9,21.75,4.25,0,26,23.06,4.59,0,27.65,3000300,31553,3031853,76626210,51473424,2327.3,50348.1,117918.5,8066962.5,0,77729.4,1272270,711862,0,8771356,6150273.5,9467.9,0,2743241.2,48652452,0,1.7,11,6292.7,0,48.1,678.8,3453.3,0,2609.1,770,55.5,0,1195.5,0,12568.6,6.8,0,0
HighDemandGrowth,SPP_North,2035,98838856,2897.9,0,1779827.6,100621576,95284218,11834979,19793990,26150090,0.036,0.054,0.12,115192.41,18757.1,15.7,0.3,0.03,2.4,119.7,0.02,15.8,6,21.7,17.3,0.3,0.03,2.6,131.3,0.02,17.3,6.5,23.8,107.3,2.1,0.22,12.7,795.8,0.05,107.4,36.4,143.8,228.4,4.5,0.48,27.1,1674.2,0.11,228.6,77,305.7,1684880.5,31.9,3.2,254647.1,12802,2,1686711.5,636684.7,2323396.2,20.2,27.36,0,47.56,21.38,29.2,0,50.59,8794010,1194139.2,9988149,106977680,88786600,2470.3,50348.1,112471.1,0,0,110274.6,1645311.8,1942901.4,0,8276657.5,6150273.5,10645,0,10277288,78399040,0,1.7,11,0,0,71.4,907.4,6610.7,0,2609.1,770,53.5,0,4821.3,0,21057.1,6.8,0,0
HighDemandGrowth,SPP_North,2040,120629100,622055.6,0,2305505.8,123556670,116290955,11313989,25245386,33732284,0.036,0.054,0.12,102768.4,22942.3,15.6,0.3,0.03,2.3,118.6,0.02,15.6,5.8,21.4,16.9,0.3,0.03,2.5,128.1,0.02,16.9,6.3,23.2,97.6,1.9,0.19,11.5,731.7,0.04,97.8,33.4,131.1,217.6,4.2,0.43,25.8,1623.6,0.1,217.9,74.2,292,2062321.3,39,3.9,299209,15660.3,2.1,2064554.3,766467.4,2831021.7,20.41,23.09,0,43.5,21.64,24.87,0,46.5,12670385,1838485,14508870,132043570,112242670,530604.2,50348.1,111785.2,0,0,160897.4,2833811.2,1892239.6,0,8223651,6150273.5,8173,0,14057766,98024020,0,430.5,11,0,0,103.3,1374.8,7755,0,2609.1,770,53.5,0,6626.8,0,26288.7,1721.9,0,0
HighDemandGrowth,SPP_North,2045,135532320,1340436.6,0,3045863.2,139918620,130657505.5,2196603.8,25904342,43312464,0.036,0.054,0.12,101189.17,26475.6,11.8,0.2,0.02,1.7,89.8,0.01,11.8,4.4,16.3,13.5,0.3,0.03,2,102.4,0.01,13.5,5,18.5,91.3,1.7,0.18,10.8,685.8,0.04,91.4,31.2,122.6,198.3,3.8,0.38,23.4,1487.3,0.09,198.5,67.8,266.3,1859467.7,35.1,3.5,275230.9,14135.4,2,1861479.9,697024.4,2558504.2,18.52,23.18,0,41.69,19.67,25.16,0,44.84,17989788,4976498,22966286,157326750,137722020,1145403,50348.1,111659.2,0,0,252247.5,2343787.5,1850657.6,0,7945945,6150273.5,6652.1,0,23379506,114090264,0,898.2,11,0,0,161.6,1376.2,8882.3,0,2609.1,770,53.5,0,11682.2,0,31224.7,3592.6,0,0
HighDemandGrowth,SPP_North,2050,141547980,3585609.5,0,3196904.8,148330500,136456664.2,-2259828,27349676,51110776,0.036,0.054,0.12,90599.46,28502.2,10.9,0.2,0.02,1.6,82.7,0.01,10.9,4.1,15,5.3,0.1,0.01,0.6,40,0,5.3,1.8,7.1,43.4,0.8,0.08,5.1,326.3,0.02,43.4,14.9,58.3,198.2,3.8,0.39,23.5,1478.5,0.09,198.4,67.5,266,1871318,35.4,3.6,276625,14227.2,2,1873342,701154.1,2574496.1,17.2,21.31,0,38.51,18.37,23.54,0,41.91,21963064,6980533,28943596,172091600,150590320,3061836,50348.1,108663.2,0,0,382638,2368432.8,1855742.6,0,7899822.5,6150273.5,6154,0,27527834,122679850,0,2808,11,0,0,247.5,1376.2,8876.2,0,2609.1,770,24.1,0,14324,0,34114.7,11231.9,0,0
HighDemandGrowth,SPP_South,2025,219804340,471281.8,951609,1972480.2,223199710,211902414.2,82767050,5477794.5,13278276,0.0359,0.0539,0.12,23198.58,51701.6,251.9,23,3.33,13.9,929.3,0.15,253.5,41.7,295.2,275.6,25.3,3.65,15.2,1012.2,0.16,277.3,45.4,322.7,536.5,42.4,6.14,35.8,2316.2,0.34,539.4,104.9,644.3,704.2,60.7,8.79,41.7,2776,0.42,708.4,124.6,833,58184182.9,5318.4,768.8,3221100.3,214659.8,34.4,58552543.6,9627356.5,68179900.1,31.29,4.98,0,36.27,33.29,5.44,0,38.74,7025374.5,392191.5,7417566.5,231000200,140432660,399746.6,117173.8,0,42348320,0,434586.4,29400852,1276319,0,3388337.5,9784525,3095702,756558.6,8197873,131800210,0,311.1,25.6,13966.8,0,258.6,11232.1,8892.1,0,1513.3,1225,9668.7,444,3246.7,0,37578.8,1244.4,3552,0
HighDemandGrowth,SPP_South,2030,247691360,459169.8,861589.5,2528368.8,251540510,238786390.7,45849904,10532846,19878080,0.0359,0.054,0.12,23191.95,56099,96.8,6.7,0.96,7.6,418.9,0.07,97.3,20.1,117.4,106.7,7.5,1.07,8.4,458.4,0.08,107.2,22,129.2,356.5,29.1,4.2,22.6,1332.1,0.21,358.6,62.4,420.9,441.1,31.7,4.57,32.5,1817.4,0.29,443.3,86.8,530,25261930.7,1752.6,251.5,1994743.5,109284,17.9,25382812.4,5256306.1,30639118.5,21.41,4.14,0,25.55,22.78,4.48,0,27.25,18869540,4031043.2,22900584,260885730,205690610,390175,117173.8,0,12707406,0,756642,24272276,1090230.8,0,3302276.2,9784525,2843131.8,687942.5,54190936,150743020,0,311.1,25.6,5260.6,0,454.6,10710.3,7840.8,0,1513.3,1225,7288.1,444,23039.2,0,40456.4,1244.4,3552,0
HighDemandGrowth,SPP_South,2035,319863740,913677.1,973621.8,4488395,326239460,308362368.8,-3319952.8,35821524,71932250,0.0359,0.054,0.12,75293.74,66043.5,22.1,0.5,0.06,2.9,147.9,0.02,22.1,7.3,29.5,26,0.6,0.07,3.4,175.5,0.03,26,8.7,34.7,92.5,2,0.24,11.1,636.7,0.06,92.6,30.1,122.7,207,4.1,0.46,24.6,1500.6,0.11,207.3,69.4,276.6,8008172.1,177.9,22.9,1052445.4,53589.3,7.7,8019727.4,2651514.4,10671241.8,19.52,10.65,0,30.17,20.73,11.39,0,32.12,40887588,9432218,50319810,362350180,329559400,777212.2,117173.8,0,0,0,1174216.5,15269990,1317528.5,0,3230570.5,9784525,1510806.9,782964,87321870,241063330,0,532.9,25.6,0,0,708.4,10428.3,8244.9,0,1513.3,1225,6356.6,444,38024.6,0,67061.9,2131.5,3552,0
HighDemandGrowth,SPP_South,2040,384092130,6492074,984010.8,5906992.5,397475200,370279669.5,-15449374,42671320,93185256,0.036,0.054,0.12,84628.39,77811.7,15.4,0.3,0.04,2,105.2,0.01,15.4,5.2,20.6,18.7,0.4,0.05,2.5,129.1,0.02,18.7,6.3,25.1,74.7,1.5,0.16,8.9,547.8,0.04,74.8,25.2,100,188.4,3.7,0.39,22.3,1387.7,0.09,188.7,63.7,252.4,6879748.1,148.9,18.5,914016.8,47111,6.6,6889240.3,2319717.9,9208958.2,18.18,11.6,0,29.78,19.39,12.56,0,31.95,58769320,20789558,79558870,447989150,412924580,5526817,117173.8,0,0,0,1526367.2,12810064,1730295.2,0,3231500.8,9784525,1073226.9,790962.8,129139890,282258340,0,4237.1,25.6,0,0,926.7,10481.8,9474,0,1540.3,1225,5961.2,444,58430,0,79740.1,16948.4,3552,0
HighDemandGrowth,SPP_South,2045,435078980,9687936,927085.1,6853971,452548000,419431374.7,-34418184,41562616,111272910,0.036,0.054,0.12,91140.69,89234.5,10.8,0.2,0.03,1.5,77.4,0.01,10.8,3.8,14.6,13.8,0.3,0.03,1.9,99.1,0.01,13.8,4.8,18.6,97.2,1.9,0.2,11.5,714.1,0.05,97.3,32.8,130.1,167,3.2,0.34,19.8,1238.6,0.08,167.2,56.7,223.9,5658421.7,116.2,13.4,763399.6,40413.9,5.2,5665549.9,1969158.8,7634708.7,16.26,12.2,0,28.46,17.37,13.28,0,30.65,89288360,28462758,117751120,522258240,486966180,8248453,117173.8,0,0,0,2204594.2,11174451,1531395.4,0,3160495.2,9784525,529765.2,745850.1,138044030,346717500,0,6460.9,25.6,0,0,1337.1,10378.8,10847.8,0,1540.3,1225,4351,444,64165.6,0,101536.4,25843.6,3552,0
HighDemandGrowth,SPP_South,2050,461309540,14248454,937233.4,6976367,483471550,444719771.2,-38779544,43852972,121802200,0.036,0.054,0.12,82848.4,93884.3,10,0.2,0.02,1.3,73.8,0.01,10,3.5,13.5,12.8,0.2,0.03,1.7,94.7,0.01,12.8,4.5,17.3,97.7,1.9,0.2,11.6,724.6,0.05,97.8,33.2,131,164.2,3.1,0.32,19.4,1225.2,0.08,164.3,56,220.3,5593712.4,109.2,11.6,751942.7,41440.3,4.7,5600139.8,1988146.2,7588286,14.9,10.82,0,25.71,15.98,11.86,0,27.84,99797100,42951504,142748600,561420800,522251170,12130943,117173.8,0,0,0,3108418.2,10994353,2055326.4,0,3118783,9784525,212806.3,755772.2,162555140,356587600,0,9854.3,25.6,0,0,1893.6,10388.7,11995.4,0,1540.3,1225,1564.9,444,79177,0,105234.4,39417,3552,0
HighDemandGrowth,WestConnect_North,2025,73881530,451820.2,566330.2,395598.4,75295280,71224356.5,26590678,1109035.8,4471868,0.036,0.054,0.12,36182.97,14341.9,299,32.6,4.72,11,789.4,0.15,301.2,34.5,335.8,323,35.2,5.1,11.9,855,0.16,325.4,37.4,362.8,675.2,67.1,9.67,30.5,2247.2,0.33,679.8,97.6,777.4,900.5,92.8,13.41,37.8,2753.7,0.44,907,119.9,1026.9,23517358.9,2562.1,371.4,863651.4,62090,11.5,23695093.9,2717075.8,26412169.7,30.53,6.02,0,36.55,32.39,6.52,0,38.91,44800.9,376.6,45177.5,78658110,48704596,386302.8,193828.7,0,22343892,0,1755896.2,4001548.5,0,0,2570388.8,0,0,457549.9,8524890,38423812,0,411.5,28.7,6596.5,0,1004,3247.6,3177.5,0,940.9,0,520.4,580.8,3348,0,10756.4,1645.9,4646.4,0
HighDemandGrowth,WestConnect_North,2030,88905910,582324,905759.7,669546,91063540,85708351.6,13549096,5182675.5,7569320,0.036,0.054,0.12,36174.42,17038.1,84.2,6.9,0.99,5.1,336.4,0.04,84.7,15.2,99.8,101.1,8.6,1.22,6,390.8,0.05,101.7,17.6,119.3,119.4,7.9,1.11,9,580.9,0.06,119.9,26.3,146.2,618.6,57.9,8.32,31.3,2067.9,0.3,622.6,93,715.6,7866110.9,649.3,92.2,480379.1,31435.3,3.7,7910619.3,1418172.3,9328791.6,24.09,5.55,0,29.64,25.65,6,0,31.65,3084822.2,20225.4,3105047.8,93450184,77514440,497666.8,158473.1,0,5420046,0,2513076.2,6424144.5,215500.4,0,2491171.2,0,517.7,728220.9,11089029,63912332,0,411.5,23.9,1703,0,1442.6,3153.6,1318.2,0,940.9,0,15.4,580.8,4295.9,0,16428.4,1645.9,4646.4,0
HighDemandGrowth,WestConnect_North,2035,122200984,755266.9,1462642.1,1212855.6,125631760,117804737.7,15523920,21024028,18662554,0.036,0.0541,0.12,118735.19,25354.4,27.1,0.5,0.05,3.2,204.4,0.01,27.1,9.3,36.4,31,0.6,0.06,3.7,234.3,0.01,31.1,10.7,41.8,125.7,2.4,0.24,14.9,945.2,0.06,125.9,43,168.9,221.8,4.3,0.45,26.3,1647.5,0.1,222.1,75.4,297.5,3338118.9,62.9,6.3,399730.6,25194.9,1.5,3341711.9,1150940.4,4492652.3,23.25,18.78,0,42.03,24.84,20.31,0,45.15,8530271,607597.5,9137869,123270290,110107820,642598.3,158473.1,0,0,0,2881412.2,8180210.5,524877.1,0,2480293.8,0,382.5,1175611.8,25717520,81508904,0,410.7,23.9,0,0,1662.8,4742,3380.6,0,940.9,0,15.4,580.8,10214.4,0,21663,1643,4646.4,0
HighDemandGrowth,WestConnect_North,2040,153084100,857669,1416922.5,1691395.6,157050080,147576868.8,10825722,27096244,27546572,0.036,0.054,0.12,78726.75,34023.2,16.5,0.3,0.03,2,124.3,0.01,16.5,5.7,22.2,19.4,0.4,0.04,2.3,146.2,0.01,19.4,6.7,26.1,84.8,1.6,0.16,10,637.9,0.04,84.9,29,113.9,201,3.8,0.39,23.8,1505.1,0.09,201.2,68.6,269.8,2593095.7,48.9,4.9,311718.4,19573.7,1.1,2595886.6,895328.8,3491215.4,21.84,12.4,0,34.24,23.3,13.36,0,36.67,13670093,594335.9,14264429,157500420,146224370,731138,158473.1,0,0,0,2932831.5,6373015,386567.7,0,2486028.5,0,182.3,1140649,25693894,117597650,0,479.3,23.9,0,0,1691,4742,3380.6,0,940.9,0,15.4,580.8,10202,0,30931.9,1917.1,4646.4,0
